"spec","method","mean_lambda","mean_ess","mean_retained","mean_max_weight"
"CC","full",0.285533037103208,83.4817189166038,100,2.35536774063604
"CC","oracle",0.498024659189545,57.8681153358502,70.62,2.46716165162892
"CC","avg",0.504584369623121,52.656254734835,65.72,2.59908280374834
"MC","full",0.290192738229447,83.8533305025968,100,2.28316649160831
"MC","oracle",0.48036589201106,58.0507787209483,70.52,2.36961709291297
"MC","avg",0.495836699518469,54.7069072192375,67.16,2.38961442492367
"CM","full",0.295910002690094,87.7391378826122,100,2.05098939949917
"CM","oracle",0.514843180757657,60.9406955392232,69.86,2.0830054768097
"CM","avg",0.512992501999414,57.938167748986,67.34,2.13151582917063
"MM","full",0.300165664575377,88.1216744022523,100,1.99491647931819
"MM","oracle",0.498964151457794,60.8154829334119,70.56,2.11573510918656
"MM","avg",0.513754708251236,57.1588012255335,66.96,2.1551953538233
