"score","detection","wrong_detection","retained_clean","retained_bad","retained_bad_fraction","mean_p_clean","mean_p_bad","spec"
"avg",0.932177329801104,0.0812444185250019,64.7666666666667,2.01666666666667,0.0302872144276652,0.506417814628826,0.0461512750319951,"CC"
"avg_raw",0.932177329801104,0.0812444185250019,64.7666666666667,2.01666666666667,0.0302872144276652,0.506417814628826,0.0461512750319951,"CC"
"avg_source",0.47256532415694,0,70.5166666666667,15.7333333333333,0.181612328426343,0.788401120874388,0.181965920570386,"CC"
"avg_unweighted",0.935494741443324,0.0898771236079911,64.15,1.91666666666667,0.0290784493127978,0.503539839810352,0.0431193238107562,"CC"
"c1",0.112536201805591,0.0834434496092007,64.65,26.1333333333333,0.288215083114425,0.506223961179,0.48695060719266,"CC"
"final",0.83673999172784,0.0846434315992645,64.5333333333333,4.75,0.0681153723022026,0.500223206279294,0.0818463018720915,"CC"
"max",0.905738020235213,0.0982461396481679,63.5833333333333,2.8,0.042298348989267,0.501503436974989,0.0576677599485289,"CC"
"max_source",0.333281285945139,0,70.5166666666667,19.8333333333333,0.218811418320036,0.938715430039998,0.301231411200977,"CC"
"quad",0.931044291236409,0.0857333720205054,64.45,2.05,0.0310204734307463,0.504678035797025,0.0491340612972979,"CC"
"quad_ar1",0.919175414919607,0.0892320427965544,64.1833333333333,2.4,0.036031700252915,0.501517373231875,0.0543396835248123,"CC"
"quad_cs",0.856824174760318,0.0887300364079901,64.2333333333333,4.2,0.0610189372383774,0.502557758734593,0.0744038638435943,"CC"
"quad_shrink",0.885209985345836,0.0888800679647198,64.25,3.38333333333333,0.049511699261436,0.502782030890308,0.0660834903639735,"CC"
"quad_source",0.208777737756228,0.0494812664760974,67.0166666666667,23.4666666666667,0.258711374008042,0.575189918074318,0.345417625499363,"CC"
